69,56,65,34,24,5,2,11,87,55,15,2,6,1,4,3.87,3.17,3.5,4.67,4.92,4.27,3.33,2
17,58,33,21,61,15,0,28,87,90,3,0,4,2,1,2.33,3,3,4.33,0.79,3.75,2,2
50,54,60,70,57,43,23,72,85,67,78,4,6,6,3,4.27,2.83,4.83,5,4.54,2.19,3.83,3
64,50,59,66,77,43,23,59,85,73,47,5,7,5,3,3.2,3.17,4.17,4.33,3.5,4.06,2.83,3.5
74,54,81,58,82,42,1,33,83,67,44,0,8,1,2,4,3.67,4,3.67,4,3.02,2.33,2
59,37,70,56,38,8,4,63,81,79,17,5,7,4,0,4.67,3.83,4.5,4,4.92,3.65,2.83,2.5
34,31,63,52,44,15,7,38,82,54,13,6,5,3,0,2.47,3.17,4,2,3.58,1.88,2.33,2
36,30,89,30,7,1,0,31,90,25,20,0,6,2,0,2,4.17,3.83,4.67,0,3.54,0.5,2.5
62,53,59,31,62,73,52,73,90,78,48,4,4,4,5,2.8,3.17,5,4.67,4.46,3.96,4,3
47,52,34,46,56,10,8,62,84,24,22,3,7,3,8,3.93,3.67,4.17,4.67,5,2.92,2,3
68,48,79,70,84,16,3,58,85,83,16,6,7,5,2,4.13,3.83,4.33,4,4.63,4.79,5,3.5
31,45,66,25,73,8,1,25,66,49,19,1,5,3,1,2.8,3.67,4.5,3.67,4.25,3.54,2.67,2.5
28,48,56,58,14,5,1,45,78,76,32,4,7,6,6,2.53,3.33,1.83,4.67,4.7,2.4,3,2
52,57,80,64,44,26,27,58,21,52,76,6,3,6,6,3.8,3.67,3,5,4.25,2.81,3.67,3
52,53,61,40,54,42,4,48,87,57,35,1,4,1,1,3.53,3.33,3.83,4,4.6,3.33,2.33,2.5
8,32,20,39,49,17,3,23,45,63,0,1,2,2,0,0.73,2.33,2.5,1.33,3.27,1.67,0,2
31,59,64,37,45,4,0,50,90,6,29,1,6,1,3,1.47,1.83,0.83,2.67,4.75,2.4,2.83,1
21,33,42,27,46,48,46,60,45,38,21,2,1,1,2,1.33,1.33,2.83,3.67,4.13,2.92,0.5,2.5
9,19,17,8,2,4,2,41,56,27,0,0,2,0,1,0.13,1.17,2.17,3.67,2.5,2.92,0,1
89,53,82,70,56,1,0,16,88,52,11,4,8,3,0,4.27,3,4.83,1,5,4.69,4.33,1
72,56,79,50,44,13,2,18,88,76,10,2,7,2,2,3.73,3.33,4.33,4,4.94,4.79,5,2
88,43,88,74,88,15,11,63,87,51,2,2,8,4,1,4.33,3.83,5,4.67,5,4.27,5,2.5
64,54,66,68,51,35,32,59,81,79,11,2,5,3,4,3.53,3.83,3.67,5,5,2.71,2,3.5
16,27,41,21,6,21,17,56,78,57,48,2.1,4.9,2.6,2.5,0.8,3.17,2,1.67,4.04,0.42,0.5,2
68,35,72,24,0,22,4,64,90,75,73,2.1,4.9,2.6,2.5,2.67,3.5,3.33,4,3.82,2.08,1,2.5
80,63,77,48,76,12,6,57,84,7,12,2.1,4.9,2.6,2.5,3.8,3,4.67,3.33,4.17,4.06,3.67,3.5
9,24,27,20,3,4,4,34,90,45,4,0,3,0,5,0.53,2.83,0.83,3.33,3.44,3.23,1.67,1.5
8,55,74,41,0,6,0,60,32,55,30,0,6,1,4,0.4,3.5,1.5,1,5,4.27,3.67,2
6,27,34,11,9,8,2,10,46,16,3,0,2,0,1,0.33,1.5,1.17,2,1.13,2.81,0.67,1
